age,race,gender,education,occupation,decision
39,White,Male,Bachelors,Adm-clerical,0
50,White,Male,Bachelors,Exec-managerial,0
38,White,Male,HS-grad,Handlers-cleaners,0
53,Black,Male,11th,Handlers-cleaners,0
28,Black,Female,Bachelors,Prof-specialty,0
37,White,Female,Masters,Exec-managerial,0
49,Black,Female,9th,Other-service,0
52,White,Male,HS-grad,Exec-managerial,1
31,White,Female,Masters,Prof-specialty,1
42,White,Male,Bachelors,Exec-managerial,1
37,Black,Male,Some-college,Exec-managerial,1
30,Asian-Pac-Islander,Male,Bachelors,Prof-specialty,1
23,White,Female,Bachelors,Adm-clerical,0
32,Black,Male,Assoc-acdm,Sales,0
40,Asian-Pac-Islander,Male,Assoc-voc,Craft-repair,1
34,Amer-Indian-Eskimo,Male,7th-8th,Transport-moving,0
25,White,Male,HS-grad,Farming-fishing,0
32,White,Male,HS-grad,Machine-op-inspct,0
38,White,Male,11th,Sales,0
43,White,Female,Masters,Exec-managerial,1
40,White,Male,Doctorate,Prof-specialty,1
54,Black,Female,HS-grad,Other-service,0
35,Black,Male,9th,Farming-fishing,0
43,White,Male,11th,Transport-moving,0
59,White,Female,HS-grad,Tech-support,0
56,White,Male,Bachelors,Tech-support,1
19,White,Male,HS-grad,Craft-repair,0
54,Asian-Pac-Islander,Male,Some-college,?,1
39,White,Male,HS-grad,Exec-managerial,0
49,White,Male,HS-grad,Craft-repair,0
23,White,Male,Assoc-acdm,Protective-serv,0
20,Black,Male,Some-college,Sales,0
45,White,Male,Bachelors,Exec-managerial,0
30,White,Male,Some-college,Adm-clerical,0
22,Black,Male,Some-college,Other-service,0
48,White,Male,11th,Machine-op-inspct,0
21,White,Male,Some-college,Machine-op-inspct,0
19,White,Female,HS-grad,Adm-clerical,0
31,White,Male,Some-college,Sales,1
48,White,Male,Assoc-acdm,Prof-specialty,0
31,White,Male,9th,Machine-op-inspct,0
53,White,Male,Bachelors,Prof-specialty,0
24,White,Male,Bachelors,Tech-support,0
49,White,Female,HS-grad,Adm-clerical,0
25,White,Male,HS-grad,Handlers-cleaners,0
57,Black,Male,Bachelors,Prof-specialty,1
53,White,Male,HS-grad,Machine-op-inspct,0
44,White,Female,Masters,Exec-managerial,0
41,White,Male,Assoc-voc,Craft-repair,0
29,White,Male,Assoc-voc,Prof-specialty,0
25,Other,Female,Some-college,Exec-managerial,0
18,White,Female,HS-grad,Other-service,0
47,White,Female,Prof-school,Prof-specialty,1
50,White,Male,Bachelors,Exec-managerial,1
47,White,Male,HS-grad,Exec-managerial,0
43,White,Male,Some-college,Tech-support,1
46,White,Male,5th-6th,Machine-op-inspct,0
35,White,Male,Assoc-voc,Other-service,0
41,White,Male,HS-grad,Adm-clerical,0
30,White,Male,HS-grad,Machine-op-inspct,0
30,White,Male,Bachelors,Sales,0
32,White,Male,7th-8th,?,0
48,White,Male,HS-grad,Transport-moving,0
42,White,Male,Doctorate,Prof-specialty,1
29,White,Male,Some-college,Tech-support,0
36,White,Male,HS-grad,Craft-repair,0
28,White,Female,Some-college,Adm-clerical,0
53,White,Female,HS-grad,Adm-clerical,1
49,White,Male,Some-college,Exec-managerial,1
25,White,Male,Some-college,?,0
19,White,Male,Some-college,Prof-specialty,0
31,Black,Female,Bachelors,Sales,0
29,White,Male,Bachelors,Sales,1
23,White,Male,Some-college,Machine-op-inspct,0
79,White,Male,Some-college,Prof-specialty,0
27,White,Male,HS-grad,Other-service,0
40,White,Male,Assoc-acdm,Adm-clerical,0
67,White,Male,10th,?,0
18,White,Female,11th,Other-service,0
31,White,Male,7th-8th,Farming-fishing,0
18,White,Male,HS-grad,Sales,0
52,White,Male,Bachelors,Other-service,0
46,White,Female,HS-grad,Other-service,0
59,White,Male,HS-grad,Sales,0
44,White,Female,HS-grad,Craft-repair,1
53,White,Female,HS-grad,Sales,0
49,White,Male,HS-grad,Protective-serv,1
33,White,Male,Masters,Prof-specialty,0
30,White,Male,9th,Sales,0
43,White,Female,Doctorate,Prof-specialty,1
57,White,Male,Assoc-voc,Prof-specialty,0
37,White,Female,Some-college,Craft-repair,0
28,Black,Female,Some-college,Machine-op-inspct,0
30,Asian-Pac-Islander,Female,HS-grad,Sales,0
34,White,Male,Bachelors,Protective-serv,1
29,White,Male,Some-college,Handlers-cleaners,0
48,White,Male,Doctorate,Prof-specialty,1
37,White,Male,Some-college,Sales,1
48,White,Female,Assoc-acdm,Exec-managerial,0
32,Black,Male,HS-grad,Other-service,0
76,White,Male,Masters,Exec-managerial,1
44,White,Male,Bachelors,Exec-managerial,1
47,White,Female,Masters,Prof-specialty,0
20,White,Female,Some-college,Tech-support,0
29,White,Male,HS-grad,Craft-repair,0
